iter	Passed	Remaining
0	78	78481
1	79	39785
2	80	26799
3	81	20239
4	81	16312
5	82	13684
6	83	11830
7	84	10429
8	84	9348
9	85	8498
10	86	7791
11	87	7190
12	87	6678
13	88	6257
14	89	5883
15	90	5546
16	90	5258
17	91	5004
18	92	4772
19	93	4573
20	94	4382
21	94	4222
22	95	4072
23	96	3934
24	97	3801
25	98	3673
26	98	3550
27	99	3444
28	99	3348
29	100	3252
30	101	3163
31	101	3080
32	102	3000
33	102	2925
34	103	2854
35	104	2788
36	104	2722
37	105	2660
38	105	2601
39	106	2553
40	107	2513
41	108	2479
42	109	2432
43	109	2386
44	110	2342
45	110	2300
46	111	2260
47	111	2221
48	112	2185
49	113	2150
50	113	2119
51	114	2088
52	115	2058
53	115	2029
54	116	2000
55	116	1971
56	117	1943
57	118	1916
58	118	1891
59	119	1866
60	119	1841
61	120	1818
62	120	1797
63	121	1775
64	122	1756
65	122	1738
66	123	1720
67	124	1701
68	124	1682
69	125	1664
70	125	1645
71	126	1626
72	126	1609
73	127	1594
74	128	1580
75	128	1565
76	129	1548
77	129	1532
78	130	1519
79	130	1504
80	131	1489
81	131	1474
82	132	1459
83	132	1445
84	133	1435
85	133	1422
86	134	1412
87	135	1401
88	135	1389
89	136	1378
90	136	1367
91	137	1357
92	138	1346
93	138	1336
94	139	1325
95	139	1316
96	140	1305
97	140	1296
98	141	1288
99	142	1279
100	142	1270
101	143	1260
102	143	1251
103	144	1242
104	144	1233
105	145	1223
106	145	1214
107	146	1206
108	146	1197
109	147	1189
110	147	1181
111	148	1174
112	148	1167
113	149	1161
114	150	1155
115	150	1148
116	151	1141
117	151	1133
118	152	1126
119	152	1121
120	153	1114
121	153	1107
122	154	1100
123	154	1094
124	155	1087
125	155	1082
126	156	1076
127	157	1071
128	157	1065
129	158	1059
130	158	1053
131	159	1047
132	159	1041
133	160	1035
134	160	1030
135	161	1024
136	161	1018
137	162	1013
138	162	1007
139	163	1004
140	164	1000
141	164	995
142	165	991
143	166	987
144	166	982
145	167	977
146	167	973
147	168	968
148	168	964
149	169	960
150	170	956
151	170	952
152	171	949
153	171	944
154	172	940
155	173	936
156	173	932
157	174	928
158	174	924
159	175	920
160	175	916
161	176	911
162	176	907
163	177	903
164	177	900
165	178	898
166	179	894
167	179	890
168	180	887
169	181	883
170	181	880
171	182	877
172	182	873
173	183	870
174	183	866
175	184	864
176	185	861
177	185	858
178	186	855
179	187	851
180	187	848
181	188	845
182	188	842
183	189	839
184	189	836
185	190	833
186	190	830
187	191	827
188	192	824
189	193	823
190	193	820
191	194	817
192	194	814
193	195	811
194	195	808
195	196	805
196	196	802
197	197	799
198	197	796
199	198	793
200	199	791
201	199	789
202	200	787
203	201	784
204	201	781
205	202	779
206	202	776
207	203	774
208	204	772
209	204	769
210	205	767
211	205	764
212	206	762
213	207	760
214	207	759
215	208	757
216	209	755
217	209	752
218	210	750
219	211	748
220	211	745
221	212	743
222	212	741
223	213	739
224	214	737
225	214	735
226	215	733
227	215	730
228	216	728
229	217	726
230	217	724
231	218	722
232	218	719
233	219	717
234	219	714
235	220	712
236	220	710
237	221	708
238	222	707
239	222	704
240	223	702
241	223	700
242	224	698
243	224	696
244	225	694
245	225	692
246	226	690
247	226	688
248	227	686
249	228	684
250	228	682
251	229	680
252	229	678
253	230	676
254	230	674
255	231	673
256	232	671
257	232	669
258	233	667
259	233	665
260	234	663
261	235	661
262	235	660
263	236	658
264	236	656
265	237	654
266	237	652
267	238	651
268	238	649
269	239	647
270	240	645
271	240	643
272	241	642
273	241	640
274	242	638
275	242	637
276	243	635
277	244	634
278	244	632
279	245	631
280	246	629
281	246	627
282	247	625
283	247	624
284	248	622
285	248	620
286	249	618
287	249	617
288	253	623
289	254	622
290	254	620
291	255	618
292	255	617
293	256	615
294	256	613
295	257	611
296	257	610
297	258	608
298	258	606
299	259	605
300	259	603
301	260	601
302	260	600
303	261	598
304	261	596
305	262	594
306	262	593
307	263	591
308	263	589
309	264	587
310	264	586
311	265	584
312	265	583
313	266	581
314	266	580
315	267	578
316	267	576
317	268	575
318	268	573
319	269	572
320	269	570
321	270	569
322	270	567
323	271	566
324	272	565
325	272	563
326	273	562
327	273	560
328	274	559
329	274	558
330	275	557
331	276	555
332	276	554
333	277	552
334	277	551
335	278	550
336	279	549
337	279	547
338	280	547
339	281	545
340	281	544
341	282	543
342	283	542
343	283	540
344	284	539
345	284	538
346	285	536
347	285	535
348	286	534
349	287	533
350	287	532
351	288	530
352	288	529
353	289	528
354	290	527
355	290	525
356	291	524
357	291	523
358	292	522
359	292	520
360	293	520
361	294	518
362	294	517
363	295	516
364	296	515
365	296	513
366	297	512
367	297	511
368	298	510
369	298	508
370	299	507
371	299	506
372	300	505
373	301	504
374	302	503
375	302	502
376	303	501
377	303	500
378	304	499
379	305	497
380	305	496
381	306	495
382	306	494
383	307	493
384	308	492
385	308	491
386	309	490
387	309	488
388	310	487
389	311	486
390	311	485
391	312	484
392	312	482
393	313	481
394	313	480
395	314	479
396	315	478
397	315	477
398	316	476
399	316	475
400	317	474
401	318	473
402	318	472
403	319	471
404	319	469
405	320	468
406	320	467
407	321	466
408	322	465
409	322	464
410	323	463
411	323	462
412	324	461
413	325	460
414	325	458
415	326	457
416	326	456
417	327	455
418	327	454
419	328	453
420	328	452
421	329	451
422	330	450
423	330	449
424	331	448
425	331	447
426	332	446
427	333	445
428	333	444
429	334	443
430	334	442
431	335	441
432	336	440
433	336	439
434	337	438
435	338	437
436	338	436
437	339	435
438	339	434
439	340	433
440	341	432
441	341	431
442	342	430
443	342	429
444	343	428
445	343	427
446	344	426
447	345	425
448	345	424
449	346	423
450	346	422
451	347	421
452	347	420
453	348	419
454	348	417
455	349	416
456	349	415
457	350	414
458	351	413
459	351	413
460	352	412
461	353	411
462	353	410
463	354	409
464	354	408
465	355	407
466	355	405
467	356	405
468	356	404
469	357	402
470	358	402
471	358	401
472	359	400
473	360	399
474	360	398
475	361	397
476	362	396
477	362	395
478	363	395
479	363	394
480	364	393
481	364	392
482	365	391
483	366	390
484	366	389
485	367	388
486	367	387
487	368	386
488	368	385
489	369	384
490	369	383
491	370	382
492	370	381
493	371	380
494	372	379
495	372	378
496	373	378
497	374	377
498	374	376
499	375	375
500	375	374
501	376	373
502	376	372
503	377	371
504	377	370
505	378	369
506	379	368
507	379	367
508	380	366
509	380	365
510	381	364
511	381	364
512	382	363
513	383	362
514	383	361
515	384	360
516	384	359
517	385	358
518	385	357
519	386	356
520	386	355
521	387	354
522	388	354
523	388	353
524	389	352
525	389	351
526	390	350
527	391	349
528	391	348
529	392	347
530	392	346
531	393	345
532	393	344
533	394	344
534	395	343
535	395	342
536	396	341
537	396	340
538	397	339
539	397	338
540	398	337
541	398	336
542	399	335
543	399	335
544	400	334
545	400	333
546	401	332
547	402	331
548	402	330
549	403	330
550	404	329
551	404	328
552	405	327
553	405	326
554	406	325
555	406	324
556	407	323
557	407	322
558	408	322
559	408	321
560	409	320
561	409	319
562	410	318
563	410	317
564	411	316
565	411	315
566	412	315
567	413	314
568	413	313
569	414	312
570	414	311
571	415	310
572	415	309
573	416	308
574	416	308
575	417	307
576	418	306
577	418	305
578	419	304
579	419	303
580	420	303
581	420	302
582	421	301
583	421	300
584	422	299
585	422	298
586	423	297
587	424	297
588	424	296
589	425	295
590	425	294
591	426	293
592	426	293
593	427	292
594	428	291
595	429	290
596	429	290
597	430	289
598	430	288
599	431	287
600	432	286
601	432	286
602	433	285
603	433	284
604	434	283
605	434	282
606	435	281
607	435	280
608	436	280
609	436	279
610	437	278
611	438	277
612	438	277
613	439	276
614	439	275
615	440	274
616	440	273
617	441	272
618	441	271
619	442	271
620	442	270
621	443	269
622	444	268
623	444	267
624	445	267
625	445	266
626	446	265
627	446	264
628	447	263
629	447	263
630	448	262
631	448	261
632	449	260
633	450	259
634	450	259
635	451	258
636	451	257
637	452	256
638	453	256
639	453	255
640	454	254
641	454	253
642	455	252
643	456	252
644	456	251
645	457	250
646	457	249
647	458	248
648	458	248
649	459	247
650	460	246
651	460	245
652	461	245
653	461	244
654	462	243
655	463	242
656	463	241
657	464	241
658	464	240
659	465	239
660	465	238
661	466	238
662	466	237
663	467	236
664	467	235
665	468	234
666	468	234
667	469	233
668	469	232
669	470	231
670	471	231
671	471	230
672	472	229
673	472	228
674	473	228
675	474	227
676	474	226
677	475	225
678	475	225
679	476	224
680	477	223
681	477	222
682	478	221
683	478	221
684	479	220
685	479	219
686	480	218
687	481	218
688	481	217
689	482	216
690	482	215
691	483	215
692	483	214
693	484	213
694	485	212
695	485	212
696	486	211
697	486	210
698	487	209
699	488	209
700	488	208
701	489	207
702	490	207
703	490	206
704	491	205
705	491	204
706	492	204
707	492	203
708	493	202
709	493	201
710	494	201
711	495	200
712	495	199
713	496	198
714	496	198
715	497	197
716	498	196
717	498	195
718	499	195
719	499	194
720	500	193
721	500	192
722	501	192
723	501	191
724	502	190
725	503	189
726	503	189
727	504	188
728	504	187
729	505	186
730	506	186
731	506	185
732	507	184
733	507	183
734	508	183
735	508	182
736	509	181
737	510	181
738	510	180
739	511	179
740	511	178
741	512	178
742	513	177
743	513	176
744	514	175
745	514	175
746	515	174
747	515	173
748	516	173
749	517	172
750	518	171
751	519	171
752	519	170
753	520	169
754	521	169
755	521	168
756	522	167
757	522	166
758	523	166
759	524	165
760	525	164
761	525	164
762	526	163
763	526	162
764	527	162
765	528	161
766	528	160
767	529	159
768	529	159
769	530	158
770	531	157
771	531	157
772	532	156
773	532	155
774	533	154
775	533	154
776	534	153
777	535	152
778	535	151
779	536	151
780	536	150
781	537	149
782	537	149
783	538	148
784	539	147
785	539	146
786	540	146
787	540	145
788	541	144
789	541	144
790	542	143
791	542	142
792	543	141
793	544	141
794	544	140
795	545	139
796	545	139
797	546	138
798	547	137
799	547	136
800	548	136
801	548	135
802	549	134
803	549	134
804	550	133
805	550	132
806	551	131
807	551	131
808	552	130
809	553	129
810	553	129
811	554	128
812	554	127
813	555	126
814	555	126
815	556	125
816	556	124
817	557	123
818	557	123
819	558	122
820	558	121
821	559	121
822	560	120
823	560	119
824	561	119
825	561	118
826	562	117
827	562	116
